AREACD,P50
E01013520,281500
E01013514,179500
E01033168,273000
E01013519,226498
E01033170,150000
E01013515,201000
E01013521,132500
E01013526,222500
E01013529,158475
E01013527,305000
E01013528,269950
E01013525,160500
E01013522,126750
E01013523,137500
E01013524,120000
E01013532,114725
E01013530,126000
E01013533,94000
E01013537,125000
E01013536,98500
E01013535,104000
E01013531,124000
E01013534,143000
E01013538,97500
E01013546,211500
E01013545,175000
E01013540,224500
E01013541,150000
E01013539,330000
E01013544,290000
E01013542,232498
E01013543,240000
E01013548,130500
E01013555,214995
E01013551,111500
E01013553,124975
E01013549,126500
E01013550,122000
E01013547,109000
E01013552,124750
E01013554,124000
E01013560,228975
E01013563,161375
E01013559,158000
E01013562,198000
E01013558,196000
E01013564,235000
E01013557,220000
E01013556,180000
E01013561,210000
E01013567,90000
E01013570,88000
E01013569,97500
E01013572,124000
E01013571,103750
E01013566,75000
E01013568,87000
E01013573,96500
E01013565,87000
E01013582,125000
E01013578,192000
E01013574,214975
E01013577,235000
E01013579,182000
E01013575,182000
E01013576,235000
E01013580,156250
E01013581,127000
E01013585,120000
E01013587,138000
E01013588,117500
E01013586,119000
E01013589,205000
E01013591,85000
E01013590,105000
E01013583,98000
E01013584,110750
E01013599,212500
E01013594,180000
E01013593,172250
E01013596,174975
E01013592,155000
E01013597,151225
E01013595,160000
E01013598,147000
E01033169,197000
E01013604,146000
E01013605,137000
E01013606,180000
E01013607,202950
E01013602,137000
E01013600,137500
E01013601,156000
E01013603,141000
E01013614,145000
E01013613,130000
E01013609,180000
E01013610,173000
E01013608,158000
E01013611,135000
E01013612,165000
E01013623,171750
E01013622,125000
E01013615,264750
E01013618,150000
E01013616,145000
E01013617,160000
E01013619,140000
E01013620,160000
E01013621,144998
E01013630,148500
E01013625,170000
E01013626,185000
E01013627,
E01013624,180000
E01013629,175000
E01013628,
E01013636,224000
E01013639,136500
E01013638,117500
E01013633,143000
E01013631,150000
E01013635,177000
E01013632,
E01013641,140000
E01013634,142000
E01013637,141000
E01013640,129000
E01013646,137500
E01032875,
E01013642,202000
E01013650,208000
E01013643,200750
E01013648,125000
E01013647,138000
E01013649,192500
E01032873,155000
E01013651,140000
E01013655,175000
E01013654,155000
E01013656,165000
E01013657,162500
E01013652,155000
E01013653,180500
E01013658,165500
E01013660,175000
E01013665,185500
E01013661,175000
E01013663,210000
E01013664,157000
E01013662,232500
E01013659,
E01013668,126975
E01013670,246000
E01013671,195000
E01013667,165000
E01013672,246500
E01013666,277500
E01013669,275500
E01013673,149950
E01013678,172250
E01013679,145000
E01013675,136000
E01013674,136000
E01013676,125000
E01013677,128750
E01013680,147000
E01013681,120750
E01013682,123000
E01013683,125000
E01013685,160000
E01013686,172000
E01013684,132000
E01013691,150000
E01013692,
E01013687,145500
E01013688,130000
E01013690,165000
E01013693,
E01013689,182000
E01013698,182000
E01013696,189500
